eWord,ePronunciation,eType,eDefinition,eTags
A blizzard,/ˈblɪz.əd/,noun,a severe snow storm with strong winds,weather
A drought,/draʊt/,noun,a long period when there is little or no rain,weather
A flood,/flʌd/,noun,a large amount of water covering an area that is usually dry,weather
A heatwave,/ˈhiːtˌweɪv/,noun,a period of time such as a few weeks when the weather is much hotter than usual,weather
A huge cloud,,,,weather
A hurricane,/ˈhʌr.ɪ.kən/,noun,"a violent wind that has a circular movement, especially in the West Atlantic Ocean",weather
A laser beam,/biːm/,noun,a line of radiation or particles flowing in one direction; a line of light that shines from a bright object,weather
A light breeze,/briːz/,noun,a light and pleasant wind,weather
A shower,,,a light rainfall,weather
A sunny spell,,,period of sunshine,weather
always freezing,/ˈɔːl.weɪz/ /ˈfriː.zɪŋ/,adj,extremely cold,weather
chilly,/ˈtʃɪl.i/,adj,a bit cold,weather
drizzling,(to drizzle - /ˈdrɪz.əl/),adj,"rain in very small, light drops",weather
Hail,/heɪl/,noun,"small, hard balls of ice that fall from the sky like rain",weather
icy,/ˈaɪ.si/,adj,covered in ice; extremely cold,weather
It's raining cats and dogs,,,something that you say when it is raining heavily,weather
It’s clearing up,,,The weather is getting better,weather
It’s freezing,,,It’s extremely cold,weather
It’s hailing,(to hail - /heɪl/),adj,"small, hard balls of ice that falling from the sky like rain",weather
It’s misty,/ˈmɪs.ti/,adj,"If the weather is misty, there is mist in the air that makes it difficult to see into the distance",weather
It’s pouring down,,,It’s raining heavily,weather
It’s scorching,/ˈskɔː.tʃɪŋ/,adj,very hot; it’s unpleasantly hot,weather
It’s warm,/wɔːm/,adj,"having or producing a comfortably high temperature, although not hot",weather
Lightning,/ˈlaɪt.nɪŋ/,noun,a flash of bright light in the sky that is produced by electricity moving between clouds or from clouds to the ground,weather
long and winding,/ˈwaɪn.dɪŋ/,adj,long and repeatedly turns in different directions,weather
mostly sunny,/ˈməʊst.li/ /ˈsʌn.i/,adj,bright because of light from the sun,weather
pouring,(to pour - /pɔːr/),adj,to (cause to) flow quickly and in large amounts,weather
quite changeable,/kwaɪt/ /ˈtʃeɪn.dʒə.bəl/,adj,often changing,weather
really pleasant,/ˈrɪə.li/ /ˈplez.ənt/,adj,"enjoyable, attractive, friendly, or easy to like",weather
settled,/ˈset.əld/,adj,comfortable and happy in a place or situation,weather
Smog,/smɒɡ/,noun,"a mixture of smoke, gases, and chemicals, especially in cities, that makes the atmosphere difficult to breathe and harmful for health",weather
snowing,(to snow - /snəʊ/),adj,"the small, soft, white pieces of ice that sometimes fall from the sky when it is cold, or the white layer on the ground and other surfaces that it forms",weather
The monsoon,/mɒnˈsuːn/,noun,the season of heavy rain during the summer in hot Asian countries,weather
the weather forecast,/ˈweð.ə ˌfɔː.kɑːst/,noun,"a statement of what the weather is likely to be for the next day or few days, usually broadcast on television or radio or printed in a newspaper",weather
thick,/θɪk/,adj,having a large distance between two sides; difficult to see through,weather
Thunder,/ˈθʌn.dər/,noun,the sudden loud noise that comes from the sky especially during a storm,weather
to increase,/ɪnˈkriːs/,verb,to (make something) become larger in amount or size,weather
to melt,,verb,"to turn from something solid into something soft or liquid, or to cause something to do this",weather
to rise,/raɪz/,verb,to become higher,weather
